chapter_file,sec_id,title,certainty,directness,defensible,trigger,eligible_designs,critical_outcome,min_followup,decision_threshold,triage_matters,triage_uncertain,triage_evidence_coming,surveillance_mode,last_checked
parts/02-caries/15-the-quieter-tier.qmd,sec-quieter-tier,The quieter tier,"Supervised brushing: very low. Four trials, no meta-analysis possible, effect sizes unreported, one analysis ignoring clustering. Bedtime sugar: very low. Eighteen studies, mostly cross-sectional, no meta-analysis possible. Sugar-free medicines: no evidence, and none needed.","Reasonable throughout. These reviews are about the interventions the advice describes, in the right people. The problem is quantity and quality of evidence, not relevance, which makes this part of the guideline a cleaner case than most of Part II.","Yes, for all three, and this is the guideline working as designed. Very low certainty gets Conditional. No rateable evidence gets Good practice. Nothing is dressed up. The observation that survives is not a criticism of any single row. It is that the bedtime recommendation, the last-thing-at-night recommendation and the night-feeding caveat all rest on one untested physiological premise about salivary flow, and read as three independent supports when they are one.","For supervised brushing: a cluster trial, correctly analyzed, isolating supervision from toothpaste supply. Given how much public money rests on this intervention, its absence is remarkable. For bedtime sugar: any prospective study measuring timing of intake rather than reconstructing it from a questionnaire.",,,,,,,,,
parts/03-gums/16-manual-or-powered.qmd,sec-powered,Manual or powered?,"Low that powered brushes reduce plaque and gingivitis more than manual ones in ordinary use. Downgraded from the reviews' own ratings for extreme heterogeneity (I² above 88% on every pooled outcome in Wang), surrogate outcomes, impossible blinding and pervasive industry funding. Moderate that powered brushes remove more plaque in a single supervised brushing, which is a much smaller claim. No caries evidence either way. SIGN 138 identified no trials showing powered brushes better than manual for preventing caries in children, and I did not search the adult literature for that outcome.","Adequate. The trials compare the two things the advice offers, in the right people. The weakness is outcome: plaque and gingival indices over weeks, for a choice people make for decades.","Yes, and it is the right shape. A Strong recommendation that either option is acceptable is well supported by evidence showing small, heterogeneous, surrogate-outcome differences. If the evidence were stronger, ""use a manual or powered toothbrush"" would be the wrong recommendation. Because it is weak, it is the right one. I would go further than the guideline in one respect: it is worth saying out loud that the oscillating-rotating subgroup showed no gingivitis benefit at all, since those are the brushes most people buy.","A trial measuring periodontitis progression or tooth loss over five years or more, independently funded. Failing that, an analysis explaining the heterogeneity: with I² above 90%, the interesting question is not the average effect but why the trials disagree so much.",,,,,,,,,
parts/03-gums/17-flossing.qmd,sec-flossing,"Flossing, and what replaced it","Low that flossing added to toothbrushing reduces gingivitis in the short term. Very low that interdental brushes added to toothbrushing do so, from a single 62-person trial, and separately low that interdental brushes may reduce gingivitis more than floss at one and three months. Those are two different comparisons at two different certainties, and an earlier draft ran them together at low. No estimate at all on interproximal caries: of the 35 trials in this review, none measured it.","Good on population and intervention, poor on outcome and duration. The trials are in adults doing the thing the advice describes. But they measure gingival indices and plaque scores over one to six months, and the advice is ultimately aimed at preventing periodontitis and decay over decades.","Yes. Conditional is the right label for low-certainty evidence of an effect of unclear clinical importance, and DBOH says so in those words. The ordering of devices, interdental brushes before floss, follows the head-to-head evidence rather than tradition. This is the third chapter running where the guideline comes out well, and I would rather say so than manufacture a complaint. The criticism in this chapter is directed at my own earlier writing and at the press coverage, not at Delivering Better Oral Health.","A trial long enough to measure interproximal caries, which means two years minimum and realistically longer, with radiographic scoring. No such trial was among the 35 the review found to January 2019, and I have not searched the primary literature published since, so read that as the review's absence rather than a current one. Also useful: a trial recruiting people with gingival inflammation rather than the near-healthy participants who dominate the current literature, since the floor effect plausibly hides a real benefit.",,,,,,,,,
parts/03-gums/18-toothbrush-design.qmd,sec-brush-design,"Bristles, heads, and the two-minute rule","Low for medium-texture bristles: a small review of harm, in which only four studies measured adverse effects as a primary outcome, showing hard is worse and medium indistinguishable from soft. This matches both Ranzan's own GRADE table, which rates the bristle-stiffness evidence low after downgrading for risk of bias and indirectness while noting a dose-response gradient, and DBOH's ""low certainty evidence of gingival lesions when hard bristle brushes were used."" An earlier draft rated it very low, one level below both, without naming a domain that would justify the extra step. I have moved it back. None for head size. None on caries for brushing duration, and no graded duration recommendation in the summary tables.","Partial. Ranzan supports ""not hard"" rather than ""medium"", and its own conclusion favors soft. Head size is uncited. The duration evidence that exists is about plaque, not caries.","Yes. Conditional is right for low certainty evidence about a low-stakes choice, and declining to grade a brushing duration is exactly what the evidence supports. This chapter's correction is aimed at me, not at the guideline. On the two most famous pieces of toothbrush advice, DBOH is more careful than the profession that repeats them and more careful than I was: it declines to grade a duration, and where it does mention two minutes, in chapter 8, it gives coverage rather than caries as the reason.","A trial with adverse effects as the primary outcome comparing soft against medium, which would settle whether DBOH or its own citation has the better of it. On duration, honestly, nothing: the trial is not worth running, and ""cover every surface"" is better advice than any number of seconds.",,,,,,,,,
parts/03-gums/19-scale-and-polish.qmd,sec-scale-polish,"Scale, polish, and being told what to do","High that routine scale and polish makes little or no difference to gingivitis, probing depths or quality of life in adults without severe periodontitis who attend regularly. High that it produces a small reduction in calculus of unclear clinical importance. Absent on adverse effects, tooth loss and attachment level, which no included trial measured.","Excellent, and the advice is correspondingly narrow. DBOH does not recommend routine scaling, and the evidence is why. The recommendation it does make, to correct calculus that is impeding plaque control, is a different and narrower claim which these trials do not address, and which the guideline correctly labels Good practice.","Yes, and this is the guideline at its best. Faced with high-certainty evidence of no benefit, it declines to recommend the intervention. Faced with a narrower clinical judgment it cannot support with research, it says Good practice. Faced with uncertain evidence on oral hygiene instruction, it says Conditional. Three different situations, three different labels, each correct. The gap in this chapter is not in the guideline. It is between the guideline and routine practice.","A trial in adults with periodontitis, or in irregular attenders, either of whom might benefit where the studied population did not; the review's population is explicitly healthy regular attenders. A trial measuring attachment level or tooth loss over longer than three years. Or evidence on the harm side, which is currently unmeasured rather than absent.",,,,,,,,,
parts/04-cancer-wear/20-oral-cancer-screening.qmd,sec-cancer-screening,"Looking for oral cancer, and the tests you are told not to use","Test by test, on the 2021 update rather than the 2015 review DBOH cites. Moderate for oral cytology's accuracy, which is the best-performing adjunct and the one the reviewers say has the most potential. Low to very low for vital staining and light-based detection, whose specificities are 0.68 and 0.50. DBOH's single moderate rating covers all three as a block, which the update no longer supports. None stated for the examination itself or for the referral criteria, and the guideline says so.","Good on test and population, limited on outcome and setting. Right tests, right patients, and accuracy measured against biopsy. But diagnostic accuracy is itself an intermediate outcome: no study here shows that using or not using these devices changes referrals, stage at diagnosis, or survival. The review also judges its applicability to be to patients attending secondary care, while the recommendation is read in general dental practice. Not separately assessed for the Good practice points. Chapter 13 gives them no certainty statement; chapter 6 cites supporting sources I have not appraised.","Yes, and it is still among the guideline's best rows, though not the flawless one I first called it. A Strong recommendation against an intervention, grounded in a diagnostic accuracy review of the right design, in the right population, where the harms of getting it wrong are explicit, is a good piece of guideline writing. Two qualifications survive the update. The certainty is not uniform across the three named tests, and cytology in particular is better supported than the single rating implies. And the review's conclusion is that these tests cannot replace biopsy, which is a narrower claim than not using them at all; the broader recommendation needs the cost and over-referral arguments to carry it, and those are evidence-to-decision judgments the guideline has not published. Good practice is also right for the examination and the referral list, with the gap disclosed.","A study of whether using an adjunct changes anything a patient experiences, rather than how it performs against biopsy: referral rates, stage at diagnosis, survival, or the anxiety cost of a false positive. On the current evidence nobody knows. Further work on cytology specifically, which the reviewers single out, could make the blanket recommendation obsolete rather than wrong. And work on the positive predictive values of oral cancer symptoms in primary care, which NICE identified as missing and which would let the referral criteria be tuned rather than asserted.",,,,,,,,,
parts/04-cancer-wear/21-tobacco.qmd,sec-tobacco,Tobacco: what a strong recommendation looks like,"Mixed, and correctly described by the guideline. Moderate for referral to stop smoking services and for behavioral support combined with pharmacotherapy. Very low for behavioral support delivered by dental professionals on its own. None at all for the asking step, as chapter 13 states in terms. Except for e-cigarettes, where the guideline is out of date rather than wrong. Chapter 13 reports low certainty, quoting a 2016 version of a review that had reached high certainty for nicotine e-cigarettes against nicotine replacement therapy eight months before DBOH published.","Good. The cited evidence is about smoking cessation, in the settings and populations the advice addresses, measuring abstinence at six months or more. That is a patient-important outcome measured directly, which is more than most chapters of this book can say.","Yes, including for the Ask step with no evidence behind it. It meets what GRADE requires of a discordant recommendation: the component is logically necessary to a pathway whose downstream steps are well supported, the burden is a single question, and no plausible harm attaches to it. This is the category that [sec-certainty-strength] said exists and is rare, and here it applies. The criticism that survives is smaller and is about drafting, not judgment: the guideline states that there is no specific evidence and that the step is integral to the pathway, but does not set out why that combination justifies Strong. A reader is asked to accept the conclusion without the reasoning. Conditional for e-cigarettes is also defensible, on residual uncertainty about serious adverse events and long-term use, which is a values judgment the panel is entitled to make. What is not defensible is the certainty statement attached to it, which describes an evidence base that had already been replaced. See [sec-half-life].","For the Ask step, evidence that recording smoking status displaces something more valuable in a short appointment, or that it deters attendance among people who smoke. For the dental-delivered behavioral support, better trials: the review asks specifically for biochemical validation of abstinence rather than self-report, and sixteen of twenty trials at high risk of bias is a literature with a great deal of room to improve. For the e-cigarette row, nothing about the evidence: it is the guideline's description of the evidence that needs changing, not the evidence.",,,,,,,,,
parts/04-cancer-wear/22-alcohol.qmd,sec-alcohol,"Alcohol, AUDIT-C, and the fourteen-unit line","Moderate that brief interventions reduce alcohol consumption in hazardous or harmful drinkers, per DBOH's account of a review I have not read, in settings that are mostly not dental. None stated for the Advise and Act steps. Explicitly paucity for light drinking in pregnancy, and the guideline says so.","Good on intervention and outcome, unassessed on setting. The gap between brief interventions in general and brief interventions in a dental chair is real and undisclosed, which is the one thing this chapter holds against the guideline.","Yes, on the tobacco reasoning. Asking about alcohol costs nothing, harms nobody, and is a necessary entry to advice that works. The pathway structure justifies the label even where individual steps lack their own evidence. The improvement wanted is one clause: name the setting the evidence came from, as the same chapter does for supervised school mouth rinse programs.","A trial of alcohol brief intervention delivered in dental practice, which would close the setting gap. And, for the dental purpose specifically, evidence on whether reducing consumption from hazardous levels reduces oral cancer incidence, which is the outcome the recommendation is ultimately aimed at and which nobody has demonstrated within this evidence base.",,,,,,,,,
parts/04-cancer-wear/23-tooth-wear.qmd,sec-wear,"Erosion, wear, and the thirty-minute rule","None rateable, across all five recommendations, which is what Good practice means and what the guideline states. Two rows point at Royal College of Surgeons guidance, one at the Eatwell Guide, one carries the dual-label note, and one carries nothing.","Not applicable in the usual sense. There is no evidence base to be direct or indirect about. The one exception is the brushing row, whose evidence exists but concerns a different disease, which is precisely why it is labeled Good practice here.","Yes, five times out of five. This is the most consistently honest domain in the guideline. Faced with an area where the research does not exist, it says so repeatedly rather than borrowing authority from adjacent evidence. The finding worth carrying forward is comparative, not critical: near-identical brushing advice is Strong in the caries tables, Good practice here, and Conditional for periodontal disease. That is defensible per-disease reasoning, and the guideline states it plainly in chapter 13. It demonstrates that a strength label cannot be read without knowing which table it came from, which is the whole of [sec-bundling] in one row. My complaint is not that DBOH failed to work this out. It is that the sentence which works it out sits in a chapter almost nobody opens, while the tables people do read show three bare labels and no connection between them.","A cohort study measuring wear with a validated index against recorded dietary acid exposure over ten years or more. And, for the thirty-minute rule specifically, any human study of post-acid brushing delay with a wear outcome rather than an in-situ enamel model.",,,,,,,,,
parts/05-questions/24-fluoridation-does-it-work.qmd,sec-fluoridation-works,Does water fluoridation work?,"Low that initiating community water fluoridation slightly reduces caries in children's baby teeth in contemporary populations. Very low for permanent teeth in contemporary populations, for the effect of cessation, and for all pre-1975 estimates. No evidence in adults.","Good on the intervention, poor on population coverage. These are studies of communities receiving fluoridated water, which is the intervention. But no study reports adult outcomes, and only one addresses the socioeconomic disparity question that is fluoridation's main policy justification.","Not applicable, and that is itself worth noting. Water fluoridation is not among the {{< var dboh.total >}} recommendations in Delivering Better Oral Health's summary tables; it is policy set elsewhere, and the guideline discusses it in its fluoride chapter rather than recommending it to clinicians. So this chapter audits a policy rather than a recommendation. My conclusion is that the contemporary evidence supports a small benefit at low certainty, which is a considerably weaker basis than the public debate on either side assumes.","More contemporary studies, particularly any reporting adults, and any reporting outcomes by socioeconomic position. Two studies is a thin basis for a national policy in either direction. A well-conducted study of a cessation event, of which several have occurred, would be more informative than anything else available and would be relatively cheap to do.",,,,,,,,,
parts/05-questions/25-fluoridation-is-it-harmful.qmd,sec-fluoridation-harm,Is water fluoridation harmful?,"Fluorosis: low, and not updated since 2015. Approximately 12% of aesthetic concern at 0.7 ppm. Neurodevelopment above fluoridation levels: an association reported across 74 observational studies, robust to restricting to low risk-of-bias studies. Neurodevelopment at fluoridation levels: very low and genuinely unresolved. Water-measured fluoride below 1.5 mg/L gives β 0.05 (−0.36 to 0.45) across all studies but β −0.32 (−0.91 to 0.26) in the low risk-of-bias subset, on three studies; urine-measured fluoride below 1.5 mg/L remains inverse. The NTP monograph declines to address 0.7 mg/L fluoridation and IQ at all. Skeletal harms: very low, five studies, uncertain.","Poor, and this is the central difficulty. Most of the neurodevelopmental evidence comes from regions of naturally high fluoride, at concentrations above those any Western scheme uses. Applying it to 1 mg/L schemes is exactly the indirectness this book objects to elsewhere, and I decline to do it.","Not applicable: this is a policy question rather than a DBOH recommendation. My position is that the current evidence does not support stopping fluoridation on neurodevelopmental grounds, does support taking the question seriously enough to fund proper prospective research in fluoridated populations, and that the benefit-versus-fluorosis trade-off is closer than public debate usually allows.","A prospective cohort in a fluoridated Western population, with individual urinary fluoride measured repeatedly through pregnancy and childhood, adjusting for lead, iodine and socioeconomic position, with a standardized cognitive outcome. That study would resolve the water-versus-urine discrepancy, and it is the study this field needs. Conversely, an explanation of that discrepancy showing the urinary finding to be confounded would move me the other way.",,,,,,,,,
parts/05-questions/26-filling-childrens-teeth.qmd,sec-fiction,Should children's baby teeth be filled?,"Moderate that no difference was detected between conventional filling, biological sealing-in and a prevention-first strategy for dental pain and/or infection, in children at high caries risk with established disease, over a median 33.8 months. One large well-conducted randomized trial, downgraded for the unavoidable lack of blinding with a subjective primary outcome. Stated that way on purpose. An earlier draft said the three approaches ""produce similar rates,"" which converts a failure to show superiority into a demonstration of equivalence. No equivalence margin was set, and the interval for prevention alone against filling still admits a 12 percentage point excess. The trial's own report says it plainly: ""'no evidence of a difference' does not mean that there was no difference, or that the three treatment approaches were equivalent.""","Excellent. Right children, right teeth, delivered in ordinary general dental practice rather than a university clinic, with pain and infection as the primary outcomes rather than a surrogate. This is what the trials in Part II should have looked like.","Not applicable; DBOH makes no recommendation here. My conclusion is that the evidence does not support a confident default in favor of conventional filling, and does support a genuine discussion with parents about the options.","Longer follow-up. Three years takes a five-year-old to eight, and some primary molars are retained until eleven or twelve. A difference could emerge later. Also: the trial reports pain and infection, but a child's experience of repeated treatment visits, and of a general anaesthetic if things go badly, is part of the comparison and needs the qualitative and economic work to be read alongside the effect estimates.",,,,,,,,,
